display_name_jpn,reading_jpn
ハリケル,ハリケル
バロックス,バロックス
パロット・ドラゴン,パロット・ドラゴン
半魚獣・フィッシャービースト,はんぎょじゅう・フィッシャービースト
ハングリーバーガー,ハングリーバーガー
ハンター・スパイダー,ハンター・スパイダー
万能地雷グレイモヤ,ばんのうじらいグレイモヤ
ハンバーガーのレシピ,ハンバーガーのレシピ
火あぶりの刑,ひあぶりのけい
ビーン・ソルジャー,ビーン・ソルジャー
光の護封剣,ひかりのごふうけん
光の追放者,ひかりのついほうしゃ
光の角,ひかりのつの
光の封札剣,ひかりのふうさつけん
ピクシーガーディアン,ピクシーガーディアン
秘術の書,ひじゅつのしょ
ヒステリック天使,ヒステリックエンジェル
ビック・アント,ビック・アント
ビッグ・シールド・ガードナー,ビッグ・シールド・ガードナー
ビッグバンガール,ビッグバンガール
ビッグバンドラゴン,ビッグバンドラゴン
羊トークン,ひつじ トークン
人喰い植物,ひとくいしょくぶつ
人喰い宝石箱,ひとくいほうせきばこ
人喰い虫,ひとくいムシ
ヒトデンチャク,ヒトデンチャク
火の粉,ひのこ
響女,ヒビキメ
ヒューマノイド・スライム,ヒューマノイド・スライム
ヒューマノイド・ドレイク,ヒューマノイド・ドレイク
氷,ヒョウ
秒殺の暗殺者,びょうさつのあんさつしゃ
ひょうすべ,ひょうすべ
避雷針,ひらいしん
便乗,びんじょう
ファイヤー・アイ,ファイヤー・アイ
ファイヤー・ウイング・ペガサス,ファイヤー・ウイング・ペガサス
ファイヤー・クラーケン,ファイヤー・クラーケン
ファイヤーソーサラー,ファイヤーソーサラー
ファイヤー・デビル,ファイヤー・デビル
ファイヤー・ボール,ファイヤー・ボール
ファランクス,ファランクス
ヴァルキリー,ヴァルキリー
ヴァンパイア・ベビー,ヴァンパイア・ベビー
ヴィシュワ・ランディー,ヴィシュワ・ランディー
封印されしエクゾディア,ふういんされしエクゾディア
封印されし者の左足,ふういんされしもののひだりあし
封印されし者の左腕,ふういんされしもののひだりうで
封印されし者の右足,ふういんされしもののみぎあし
封印されし者の右腕,ふういんされしもののみぎうで
封印の鎖,ふういんのくさり
ブークー,ブークー
風魔神－ヒューガ,ふうましん－ヒューガ
フェアリー・ドラゴン,フェアリー・ドラゴン
フォース,フォース
フォースフィールド,フォースフィールド
フォロー・ウィンド,フォロー・ウィンド
孵化,ふか
深き森の長老,ふかきもりのちょうろう
復讐のカッパ,ふくしゅうのカッパ
復讐のソード・ストーカー,ふくしゅうのソード・ストーカー
プチテンシ,プチテンシ
プチモス,プチモス
プチリュウ,プチリュウ
物資調達員,ぶっしちょうたついん
フュージョニスト,フュージョニスト
フュージョン・ゲート,フュージョン・ゲート
フライング・フィッシュ,フライング・フィッシュ
フライングマンティス,フライングマンティス
ブラキオレイドス,ブラキオレイドス
プラグティカル,プラグティカル
ブラック・デーモンズ・ドラゴン,ブラック・デーモンズ・ドラゴン
黒いペンダント,ブラック・ペンダント
ブラック・ホール,ブラック・ホール
ブラック・マジシャン,ブラック・マジシャン
ブラック・マジシャン・ガール,ブラック・マジシャン・ガール
ブラッド・ヴォルス,ブラッド・ヴォルス
フラワー・ウルフ,フラワー・ウルフ
振り子刃の拷問機械,ふりこやいばのごうもんきかい
プリズマン,プリズマン
プリヴェント・ラット,プリヴェント・ラット
プリンセス人魚,プリンセスにんぎょ
青眼の究極竜,ブルーアイズ・アルティメットドラゴン
ブルーアイズ・トゥーン・ドラゴン,ブルーアイズ・トゥーン・ドラゴン
青眼の白龍,ブルーアイズ・ホワイト・ドラゴン
青眼の銀ゾンビ,ブルーアイド・シルバーゾンビ
青い忍者,ブルーにんじゃ
ブルー・ポーション,ブルー・ポーション
ブレイブ・シザー,ブレイブ・シザー
フレイムキラー,フレイムキラー
フレイム・ケルベロス,フレイム・ケルベロス
フレイム・ゴースト,フレイム・ゴースト
フレイムダンサー,フレイムダンサー
フレイム・ヴァイパー,フレイム・ヴァイパー
ブレードフライ,ブレードフライ
フレンドシップ,フレンドシップ
ブロッカー,ブロッカー
ペイルビースト,ペイルビースト
平和の使者,へいわのししゃ
昆虫人間,ベーシック・インセクト
ベビー・ティーレックス,ベビー・ティーレックス
ベビードラゴン,ベビードラゴン
ベヒゴン,ベヒゴン
ヘラクレス・ビートル,ヘラクレス・ビートル
ヘルゲート・ディーグ,ヘルゲート・ディーグ
ヘルバウンド,ヘルバウンド
ペンギン・ソルジャー,ペンギン・ソルジャー
ペンギン・ナイト,ペンギン・ナイト
ボアソルジャー,ボアソルジャー
ホーリー・エルフ,ホーリー・エルフ
ホーリー・エルフの祝福,ホーリー・エルフのしゅくふく
神聖なる魂,ホーリーシャイン・ソウル
ホーリージャベリン,ホーリージャベリン
ホーリー・ドール,ホーリー・ドール
ホーリー・ナイト・ドラゴン,ホーリー・ナイト・ドラゴン
ホーリー・パワー,ホーリー・パワー
ボーンハイマー,ボーンハイマー
撲滅の使徒,ぼくめつのしと
補充要員,ほじゅうよういん
ポセイドンの力,ポセイドンのちから
ポット・ザ・トリック,ポット・ザ・トリック
骨ネズミ,ホネネズミ
炎の女暗殺者,ほのおのおんなあんさつしゃ
炎の騎士　キラー,ほのおのきし　キラー
炎の剣豪,ほのおのけんごう
炎の剣士,ほのおのけんし
炎の精霊　イフリート,ほのおのせいれい　イフリート
炎の魔神,ほのおのまじん
炎を操る者,ほのおをあやつるもの
炎を食らう大亀,ほのおをくらうおおガメ
ポルターガイスト,ポルターガイスト
ボルト・エスカルゴ,ボルト・エスカルゴ
ボルト・ペンギン,ボルト・ペンギン
ホログラー,ホログラー
白い泥棒,ホワイト・シーフ
ホワイト・ドルフィン,ホワイト・ドルフィン
ホワイト・ホール,ホワイト・ホール
本の精霊　ホーク・ビショップ,ほんのせいれい　ホーク・ビショップ
翻弄するエルフの剣士,ほんろうするエルフのけんし
マーダーサーカス,マーダーサーカス
マーダーサーカス・ゾンビ,マーダーサーカス・ゾンビ
マウンテン・ウォーリアー,マウンテン・ウォーリアー
魔界植物,まかいしょくぶつ
魔界のイバラ,まかいのイバラ
魔界の機械兵,まかいのきかいへい
魔霧雨,まきう
マキャノン,マキャノン
魔菌,まきん
マグナム・リリィ,マグナム・リリィ
マグネッツ１号,マグネッツ１ごう
マグネッツ２号,マグネッツ２ごう
磁石の戦士α,マグネット・ウォリアー・アルファ
磁石の戦士γ,マグネット・ウォリアー・ガンマ
磁石の戦士β,マグネット・ウォリアー・ベータ
マグマン,マグマン
マジカル・ゴースト,マジカル・ゴースト
マジカルシルクハット,マジカルシルクハット
マジシャン・オブ・ブラックカオス,マジシャン・オブ・ブラックカオス
マジックアーム・シールド,マジックアーム・シールド
マジック・ジャマー,マジック・ジャマー
魔法の筒,マジック・シリンダー
マジック・ドレイン,マジック・ドレイン
マジック・ランプ,マジック・ランプ
魔性の月,ましょうのつき
魔女狩り,まじょがり
マシン・アタッカー,マシン・アタッカー
魔人銃,マジンガン
魔人デスサタン,まじんデスサタン
魔人　テラ,まじん　テラ
マスター・アン・エキスパート,マスター・アン・エキスパート
魔装騎士ドラゴネス,まそうきしドラゴネス
マタンゴ,マタンゴ
抹殺の使徒,まっさつのしと
魔天老,まてんろう
魔導ギガサイバー,まどうギガサイバー
魔導騎士ギルティア,まどうきしギルティア
魔導師の力,まどうしのちから
魔頭を持つ邪竜,まとうをもつじゃりゅう
マハー・ヴァイロ,マハー・ヴァイロ
魔封じの芳香,まふうじのほうこう
マブラス,マブラス
魔法剣士ネオ,まほうけんしネオ
魔法除去,まほうじょきょ
魔法探査の石版,まほうたんさのせきばん
魔法のランプ,まほうのランプ
魔物の狩人,まもののかりうど
魔力吸収球体,まりょくきゅうしゅうきゅうたい
魔力の枷,まりょくのかせ
魔力の棘,まりょくのとげ
魔力無力化の仮面,まりょくむりょくかのかめん
マリン・ビースト,マリン・ビースト
マンイーター,マンイーター
万華鏡－華麗なる分身－,まんげきょう－かれいなるぶんしん－
マンモスの墓場,マンモスのはかば
味方殺しの女騎士,みかたごろしのおんなきし
右手に盾を左手に剣を,みぎてにたてをひだりてにけんを
未熟な悪魔,みじゅくなあくま
未熟な密偵,みじゅくなみってい
ミスターボルケーノ,ミスターボルケーノ
ミスター・ボンバー,ミスター・ボンバー
水の踊り子,みずのおどりこ
水の精霊　アクエリア,みずのせいれい　アクエリア
水の魔導師,みずのまどうし
満ち潮のマーマン,みちしおのマーマン
道連れ,みちづれ
三ツ首のギドー,みツくびのギドー
ミッドナイト・デビル,ミッドナイト・デビル
密林の黒竜王,みつりんのこくりゅうおう
見習い魔女,みならいまじょ
ミノケンタウロス,ミノケンタウロス
ミノタウルス,ミノタウルス
音楽家の帝王,ミュージシャン・キング
ミューズの天使,ミューズのてんし
ミラージュ,ミラージュ
ミリス・レディエント,ミリス・レディエント
魅惑の怪盗,みわくのかいとう
ムカムカ,ムカムカ
無限の手札,むげんのてふだ
無差別破壊,むさべつはかい
虫除けバリアー,むしよけバリアー
夢魔の亡霊,むまのぼうれい
紫水晶,むらさきすいしょう
冥界の番人,めいかいのばんにん
迷宮の魔戦車,めいきゅうのませんしゃ
迷宮壁－ラビリンス・ウォール－,めいきゅうへき－ラビリンス・ウォール－
迷宮変化,めいきゅうへんげ
メガザウラー,メガザウラー
メカ・ザウルス,メカ・ザウルス
メガ・サンダーボール,メガ・サンダーボール
メガソニック・アイ,メガソニック・アイ
メカニカルスネイル,メカニカルスネイル
メカ・ハンター,メカ・ハンター
メカファルコン,メカファルコン
メカレオン,メカレオン
メギラス・ライト,メギラス・ライト
恵みの雨,めぐみのあめ
メサイアの蟻地獄,メサイアのありじごく
女邪神ヌヴィア,めじゃしんヌヴィア
メタモルポット,メタモルポット
メタル・ガーディアン,メタル・ガーディアン
メタル化・魔法反射装甲,メタルか・まほうはんしゃそうこう
メタル・デビルゾア,メタル・デビルゾア
メタル・ドラゴン,メタル・ドラゴン
メタル・フィッシュ,メタル・フィッシュ
メテオ・ストライク,メテオ・ストライク
メテオ・ドラゴン,メテオ・ドラゴン
メテオ・ブラック・ドラゴン,メテオ・ブラック・ドラゴン
メデューサの亡霊,メデューサのぼうれい
メルキド四面獣,メルキドしめんじゅう
猛獣の歯,もうじゅうのは
猛進する剣角獣,もうしんするけんかくじゅう
猛吹雪,もうふぶき
モウヤンのカレー,モウヤンのカレー
燃えさかる大地,もえさかるだいち
物陰の協力者,ものかげのきょうりょくしゃ
ものマネ幻想師,ものマネげんそうし
森,もり
森の屍,もりのしかばね
森の住人　ウダン,もりのじゅうにん　ウダン
モリンフェン,モリンフェン
モンスター・アイ,モンスター・アイ
モンスター・エッグ,モンスター・エッグ
モンスター回収,モンスターかいしゅう
地獄の魔物使い,モンスター・テイマー
モンスタートル,モンスタートル
モンスターＢＯＸ,モンスターボックス
モン・ラーバス,モン・ラーバス
ヤシの木,ヤシのき
ヤドカリュー,ヤドカリュー
屋根裏の物の怪,やねうらのもののけ
山,やま
ヤマタノ竜絵巻,ヤマタノドラゴンえまき
ヤマドラン,ヤマドラン
山の精霊,やまのせいれい
闇,やみ
闇・エネルギー,やみ・エネルギー
闇からの呼び声,やみからのよびごえ
闇晦ましの城,やみくらましのしろ
闇・道化師のサギー,やみ・どうけしのサギー
闇にしたがう者,やみにしたがうもの
闇の暗殺者,やみのあんさつしゃ
闇の訪れ,やみのおとずれ
闇の仮面,やみのかめん
闇の呪縛,やみのじゅばく
闇の破神剣,やみのはしんけん
闇魔界の覇王,やみまかいのはおう
闇をかき消す光,やみをかきけすひかり
闇を司る影,やみをつかさどるかげ
ヤランゾ,ヤランゾ
遺言状,ゆいごんじょう
遺言の仮面,ゆいごんのかめん
勇気の砂時計,ゆうきのすなどけい
融合,ゆうごう
融合解除,ゆうごうかいじょ
融合賢者,ゆうごうけんじゃ
ＵＦＯタートル,ＵＦＯタートル
有翼幻獣キマイラ,ゆうよくげんじゅうキマイラ
誘惑のシャドウ,ゆうわくのシャドウ
弓を引くマーメイド,ゆみをひくマーメイド
陽気な葬儀屋,ようきなそうぎや
要塞クジラ,ようさいクジラ
要塞クジラの誓い,ようさいクジラのちかい
妖精王オベロン,ようせいおうオベロン
妖精の贈りもの,ようせいのおくりもの
ヨルムンガルド,ヨルムンガルド
鎧ネズミ,よろいネズミ
鎧武者斬鬼,よろいむしゃザンキ
鎧武者ゾンビ,よろいむしゃゾンビ
ラージマウス,ラージマウス
ラーの翼神竜,ラーのよくしんりゅう
ラーバス,ラーバス
ラーバモス,ラーバモス
ライオンの儀式,ライオンのぎしき
雷神の怒り,らいじんのいかり
雷魔神－サンガ,らいましん－サンガ
雷鳴,らいめい
ラムーン,ラムーン
ララ・ライウーン,ララ・ライウーン
ランドスターの剣士,ランドスターのけんし
ランプの魔人,ランプのまじん
ランプの魔精・ラ・ジーン,ランプのませい・ラ・ジーン
リクイド・ビースト,リクイド・ビースト
陸戦型　バグロス,りくせんがた　バグロス
リグラス・リーパー,リグラス・リーパー
リトル・キメラ,リトル・キメラ
海竜神,リバイアサン
リバイバルスライム,リバイバルスライム
リビングデッドの呼び声,リビングデッドのよびごえ
リボルバー・ドラゴン,リボルバー・ドラゴン
リミッター解除,リミッターかいじょ
竜騎士ガイア,りゅうきしガイア
竜殺しの剣,りゅうごろしのけん
硫酸のたまった落とし穴,りゅうさんのたまったおとしあな
緑樹の霊王,りょくじゅのれいおう
ルイーズ,ルイーズ
ルート・ウォーター,ルート・ウォーター
ルード・カイザー,ルード・カイザー
レア・フィッシュ,レア・フィッシュ
霊魂消滅,れいこんしょうめつ
霊滅術師　カイクウ,れいめつじゅつし　カイクウ
レインボー・フィッシュ,レインボー・フィッシュ
レインボー・フラワー,レインボー・フラワー
レインボー・マリン・マーメイド,レインボー・マリン・マーメイド
レーザー砲機甲鎧,レーザーキャノンアーマー
レオ・ウィザード,レオ・ウィザード
レオグン,レオグン
レッグル,レッグル
レッサー・ドラゴン,レッサー・ドラゴン
真紅眼の黒竜,レッドアイズ・ブラックドラゴン
レッドアイズ・ブラックメタルドラゴン,レッドアイズ・ブラックメタルドラゴン
レッド・エース,レッド・エース
レッド・ドラゴン,レッド・ドラゴン
レッド・ポーション,レッド・ポーション
女豹の傭兵,レディパンサー
ロイヤルガード,ロイヤルガード
ローガーディアン,ローガーディアン
ロード・オブ・ドラゴン－ドラゴンの支配者－,ロード・オブ・ドラゴン－ドラゴンのしはいしゃ－
ローの祈り,ローのいのり
六芒星の呪縛,ろくぼうせいのじゅばく
ロケット戦士,ロケットせんし
ロックメイス,ロックメイス
ワームドレイク,ワームドレイク
ワーム・ホール,ワーム・ホール
ワイト,ワイト
ワイバーン,ワイバーン
ワイバーンの戦士,ワイバーンのせんし
ワイルド・ラプター,ワイルド・ラプター
罠はずし,わなはずし
和睦の使者,わぼくのししゃ
笑う花,わらうハナ
一眼の盾竜,ワンアイド・シールドドラゴン
伝説の剣豪ＭＡＳＡＫＩ,でんせつのけんごう　マサキ
セイバーザウルス,セイバーザウルス
